master_cpd_id,r2,cpd_name
606254,0.0163868097195363,SNS-032
142931,0.014679170122034901,BRD-K45681478
660430,0.013605495518494836,CAL-101
660397,0.01277472183081132,rigosertib
411820,0.012046545999851088,SRT-1720
350548,0.011703627807597327,ML029
404566,0.011703406180504028,BRD-K63431240
52582,0.011394624765486184,GSK-3 inhibitor IX
609440,0.010596583467372888,PL-DI
37190,0.010019289023298295,ouabain
61724,0.009379161265384406,BRD-A94377914
176181,0.009038072972003607,CIL41
689506,0.00853296991924526,BRD-K30748066
660327,0.007292090579068389,hyperforin
634309,0.005013364117333397,lapatinib
418170,0.004841914102357547,tivozanib
411724,0.004228629095975811,AA-COCF3
639962,0.0016805991824191402,SB-525334
389297,0.00020310748867002903,BRD-K11533227
50163,-0.0002785670181869593,cytochalasin B
628601,-0.0005858928071099223,nintedanib
401251,-0.002376971724387289,BRD-K33514849
609091,-0.002694393004735285,FQI-2
660429,-0.0027380902073599112,momelotinib
660286,-0.00412200688410711,SMER-3
687720,-0.004292675414638225,alvocidib
28801,-0.004820993439240051,epigallocatechin-3-monogallate
348992,-0.005160178913878854,NVP-BEZ235
37479,-0.005382720675432084,BRD9647
19153,-0.005924746107264967,BRD9876
687714,-0.00639259511190946,MI-2
660287,-0.007243576189434275,NVP-ADW742
660314,-0.007704890655137198,ML258
438776,-0.008738699723653043,BRD-K64610608
418162,-0.009237862950990005,BRD1812
375562,-0.00928289006072005,CD-1530
385240,-0.009993012957185732,triazolothiadiazine
25393,-0.013386881587089516,isoliquiritigenin
660207,-0.014236949654412157,lomeguatrib
417663,-0.01569778937969053,CCT036477
122255,-0.016131371940880768,B02
411843,-0.016604455312676358,GMX-1778
375496,-0.01678761892892213,LY-2183240
58948,-0.0169600011475751,MG-132
417987,-0.017545315036196274,tosedostat
606363,-0.01826306093615715,KU-0063794
660082,-0.018322637199450285,etomoxir
609596,-0.019841307364183703,TW-37
628639,-0.019910948279657358,lenvatinib
666716,-0.02099954795778456,ETP-46464
436211,-0.021664609051723203,BRD-K19103580
651642,-0.02354474970194622,BRD-K28456706
417452,-0.024574230637404625,nakiterpiosin
153820,-0.024963071102006507,ML050
349006,-0.02620467408064626,sorafenib
606033,-0.026491677378474066,linifanib
375256,-0.026741908313097595,CD-437
52926,-0.027659319225062463,gefitinib
362338,-0.029965270779407138,SNX-2112
467037,-0.030183068877074136,bafilomycin A1
55512,-0.031060229657326643,ciclosporin
387472,-0.03263659329544275,BRD-K66453893
411816,-0.03282280215048487,ML203
450415,-0.03286501068276446,BRD-K52037352
660421,-0.03435994802465585,silmitasertib
27894,-0.03528291330060194,simvastatin
102193,-0.036085148518074206,FQI-1
652975,-0.03631904954850111,STF-31
660433,-0.03675868080262472,OSI-027
660228,-0.037480947441611547,BMS-195614
660137,-0.037737596728730005,Ch-55
641721,-0.039224390251802375,BRD-K24690302
411731,-0.039752793656497955,SID 26681509
411865,-0.04066577615866089,MST-312
632103,-0.041028297911750514,YK 4-279
640157,-0.04117921924174008,fingolimod
28452,-0.04141676938659755,curcumin
185987,-0.0423141779991574,MI-1
26956,-0.04273581382596705,paclitaxel
660840,-0.04369872067677629,cabozantinib
418172,-0.04406605359202622,Ko-143
640265,-0.04509144634375204,pazopanib
50753,-0.045771811593045796,SB-431542
616352,-0.04617012128097908,salermide
348997,-0.04778316742508668,GW-843682X
53705,-0.04938956113634414,BIX-01294
660318,-0.050174144383571616,bardoxolone methyl
648987,-0.05023392227370245,BRD-K70511574
375390,-0.05071603659616537,CI-976
215497,-0.05257055077514052,Mdivi-1
33166,-0.05354630656356667,prochlorperazine
660083,-0.05368674128268693,HC-067047
